"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,290866,363.24,1,3,3739,1,1,0
"2",1,290866,363.24,1,3,3739,1,1,0
"3",Inf,290866,363.24,1,3,3739,1,1,0
"4",Inf,290866,363.24,1,3,3739,1,1,0
"5",Inf,290866,363.24,1,3,3739,1,1,0
"6",Inf,290866,363.24,1,3,3739,1,1,0
"7",1.07663057323,290866,363.24,1,3,3739,1,1,0
"8",Inf,290866,363.24,1,3,3739,1,1,0
"9",Inf,290866,363.24,1,3,3739,1,1,0
"10",1.41076703208,290866,363.24,1,3,3739,1,1,0
"11",Inf,290866,363.24,1,3,3739,1,1,0
"12",Inf,290866,363.24,1,3,3739,1,1,0
"13",Inf,290866,363.24,1,3,3739,1,1,0
"14",Inf,290866,363.24,1,3,3739,1,1,0
"15",0.99774062,292411,376.51,1,3,3922,1,1,0
"16",1.08913026204,292411,376.51,1,3,3922,1,1,0
"17",0.99774062,292411,376.51,1,3,3922,1,1,0
"18",0.99774062,292411,376.51,1,3,3922,1,1,0
"19",0.99774062,292411,376.51,1,3,3922,1,1,0
"20",Inf,292411,376.51,1,3,3922,1,1,0
"21",0.99774062,292411,376.51,1,3,3922,1,1,0
"22",Inf,292411,376.51,1,3,3922,1,1,0
"23",0.99774062,292411,376.51,1,3,3922,1,1,0
"24",1.05497262134,292411,376.51,1,3,3922,1,1,0
"25",Inf,292411,376.51,1,3,3922,1,1,0
"26",Inf,292411,376.51,1,3,3922,1,1,0
"27",NA,292411,376.51,1,3,3922,1,1,0
"28",1,290866,363.24,1,3,3739,1,1,0
"29",Inf,290866,363.24,1,3,3739,1,1,0
"30",Inf,290866,363.24,1,3,3739,1,1,0
"31",1,290866,363.24,1,3,3739,1,1,0
"32",Inf,290866,363.24,1,3,3739,1,1,0
"33",Inf,290866,363.24,1,3,3739,1,1,0
"34",1,290866,363.24,1,3,3739,1,1,0
"35",Inf,290866,363.24,1,3,3739,1,1,0
"36",0.976749112346,290866,363.37,1,3,3307,1,1,0
"37",Inf,290866,363.37,1,3,3307,1,1,0
"38",0.964496446894,311410,401.61,1,3,3312,1,1,0
"39",Inf,311410,401.61,1,3,3312,1,1,0
"40",Inf,311410,401.61,1,3,3312,1,1,0
"41",1.45954401468,311410,401.61,1,3,3312,1,1,0
"42",Inf,311410,401.61,1,3,3312,1,1,0
"43",Inf,311410,401.61,1,3,3312,1,1,0
"44",1.1568452212,311410,401.61,1,3,3312,1,1,0
"45",Inf,311410,401.61,1,3,3312,1,1,0
"46",Inf,311410,401.61,1,3,3312,1,1,0
"47",Inf,311410,401.61,1,3,3312,1,1,0
"48",Inf,311410,401.61,1,3,3312,1,1,0
"49",Inf,311410,401.61,1,3,3312,1,1,0
"50",Inf,311410,401.61,1,3,3312,1,1,0
"51",0.964496446894,311410,401.61,1,3,3312,1,1,0
"52",1.0434879111,311410,401.61,1,3,3312,1,1,0
"53",0.927625471897,250280,345.07,1,4,2779,1,1,0
"54",0.903393277709,250276,396.35,1,3,3514,1,1,0
"55",Inf,250276,396.35,1,3,3514,1,1,0
"56",Inf,250276,396.35,1,3,3514,1,1,0
"57",NA,250276,396.35,1,3,3514,1,1,0
"58",1,290866,363.24,1,3,3739,1,1,0
"59",Inf,290866,363.24,1,3,3739,1,1,0
"60",1,290866,363.24,1,3,3739,1,1,0
"61",Inf,290866,363.24,1,3,3739,1,1,0
"62",Inf,290866,363.24,1,3,3739,1,1,0
"63",Inf,290866,363.24,1,3,3739,1,1,0
"64",Inf,290866,363.24,1,3,3739,1,1,0
"65",Inf,290866,363.24,1,3,3739,1,1,0
"66",Inf,290866,363.24,1,3,3739,1,1,0
"67",0.976749112346,290866,363.37,1,3,3307,1,1,0
"68",Inf,290866,363.37,1,3,3307,1,1,0
"69",Inf,290866,363.37,1,3,3307,1,1,0
"70",1.29792303515,290866,363.37,1,3,3307,1,1,0
"71",1.10702222637,290866,363.37,1,3,3307,1,1,0
"72",Inf,290866,363.37,1,3,3307,1,1,0
"73",1,290866,363.37,1,3,3307,1,1,0
"74",0.956799765636,291381,383.29,1,3,3310,1,1,0
"75",0.861707858253,230247,373,1,3,2867,1,1,0
"76",Inf,230247,373,1,3,2867,1,1,0
"77",0.861707858253,230247,373,1,3,2867,1,1,0
"78",Inf,230247,373,1,3,2867,1,1,0
"79",Inf,230247,373,1,3,2867,1,1,0
"80",Inf,230247,373,1,3,2867,1,1,0
"81",Inf,230247,373,1,3,2867,1,1,0
"82",0.876624084638,230247,373,1,3,2867,1,1,0
"83",0.985475082999,230247,373,1,3,2867,1,1,0
"84",NA,230247,373,1,3,2867,1,1,0
"85",1,290866,363.24,1,3,3739,1,1,0
"86",Inf,290866,363.24,1,3,3739,1,1,0
"87",Inf,290866,363.24,1,3,3739,1,1,0
"88",Inf,290866,363.24,1,3,3739,1,1,0
"89",Inf,290866,363.24,1,3,3739,1,1,0
"90",Inf,290866,363.24,1,3,3739,1,1,0
"91",Inf,290866,363.24,1,3,3739,1,1,0
"92",Inf,290866,363.24,1,3,3739,1,1,0
"93",Inf,290866,363.24,1,3,3739,1,1,0
"94",Inf,290866,363.24,1,3,3739,1,1,0
"95",1.32668204173,290866,363.24,1,3,3739,1,1,0
"96",Inf,290866,363.24,1,3,3739,1,1,0
"97",1.45223602174,290866,363.24,1,3,3739,1,1,0
"98",Inf,290866,363.24,1,3,3739,1,1,0
"99",Inf,290866,363.24,1,3,3739,1,1,0
"100",Inf,290866,363.24,1,3,3739,1,1,0
"101",Inf,290866,363.24,1,3,3739,1,1,0
"102",1.03138928288,290866,363.24,1,3,3739,1,1,0
"103",1.45714516327,290866,363.24,1,3,3739,1,1,0
"104",Inf,290866,363.24,1,3,3739,1,1,0
"105",Inf,290866,363.24,1,3,3739,1,1,0
"106",1.53483711203,290866,363.24,1,3,3739,1,1,0
"107",Inf,290866,363.24,1,3,3739,1,1,0
"108",1.18608364747,290866,363.24,1,3,3739,1,1,0
"109",1.44093805122,290866,363.24,1,3,3739,1,1,0
"110",1,290866,363.24,1,3,3739,1,1,0
"111",NA,290866,363.24,1,3,3739,1,1,0
"112",1,290866,363.24,1,3,3739,1,1,0
"113",1,290866,363.24,1,3,3739,1,1,0
"114",Inf,290866,363.24,1,3,3739,1,1,0
"115",0.867862095181,235116,401.28,1,3,3275,1,1,0
"116",Inf,235116,401.28,1,3,3275,1,1,0
"117",Inf,235116,401.28,1,3,3275,1,1,0
"118",1.19410189979,235116,401.28,1,3,3275,1,1,0
"119",1.04042750046,235116,401.28,1,3,3275,1,1,0
"120",Inf,235116,401.28,1,3,3275,1,1,0
"121",Inf,235116,401.28,1,3,3275,1,1,0
"122",Inf,235116,401.28,1,3,3275,1,1,0
"123",0.799758840753,173480,382.41,1,3,3237,1,1,0
"124",1.16563709072,173480,382.41,1,3,3237,1,1,0
"125",Inf,173480,382.41,1,3,3237,1,1,0
"126",0.799758840753,173480,382.41,1,3,3237,1,1,0
"127",0.799758840753,173480,382.41,1,3,3237,1,1,0
"128",0.799758840753,173480,382.41,1,3,3237,1,1,0
"129",Inf,173480,382.41,1,3,3237,1,1,0
"130",Inf,173480,382.41,1,3,3237,1,1,0
"131",Inf,173480,382.41,1,3,3237,1,1,0
"132",Inf,173480,382.41,1,3,3237,1,1,0
"133",Inf,173480,382.41,1,3,3237,1,1,0
"134",Inf,173480,382.41,1,3,3237,1,1,0
"135",0.799758840753,173480,382.41,1,3,3237,1,1,0
"136",Inf,173480,382.41,1,3,3237,1,1,0
"137",Inf,173480,382.41,1,3,3237,1,1,0
"138",Inf,173480,382.41,1,3,3237,1,1,0
"139",0.799758840753,173480,382.41,1,3,3237,1,1,0
"140",NA,173480,382.41,1,3,3237,1,1,0
"141",1,290866,363.24,1,3,3739,1,1,0
"142",Inf,290866,363.24,1,3,3739,1,1,0
"143",Inf,290866,363.24,1,3,3739,1,1,0
"144",Inf,290866,363.24,1,3,3739,1,1,0
"145",Inf,290866,363.24,1,3,3739,1,1,0
"146",Inf,290866,363.24,1,3,3739,1,1,0
"147",0.985555164941,290870,370.51,1,4,3304,1,1,0
"148",0.985555164941,290870,370.51,1,4,3304,1,1,0
"149",1.01973878431,290870,370.51,1,4,3304,1,1,0
"150",1.40763756463,290870,370.51,1,4,3304,1,1,0
"151",1.17923043745,290870,370.51,1,4,3304,1,1,0
"152",1.38154831962,290870,370.51,1,4,3304,1,1,0
"153",Inf,290870,370.51,1,4,3304,1,1,0
"154",1.40763756463,290870,370.51,1,4,3304,1,1,0
"155",Inf,290870,370.51,1,4,3304,1,1,0
"156",Inf,290870,370.51,1,4,3304,1,1,0
"157",Inf,290870,370.51,1,4,3304,1,1,0
"158",Inf,290870,370.51,1,4,3304,1,1,0
"159",0.985555164941,290870,370.51,1,4,3304,1,1,0
"160",Inf,290870,370.51,1,4,3304,1,1,0
"161",Inf,290870,370.51,1,4,3304,1,1,0
"162",Inf,290870,370.51,1,4,3304,1,1,0
"163",NA,290870,370.51,1,4,3304,1,1,0
